Name,Bus,Fuel,Max_Cap,Min_Cap,Heat_Rate
FONTANA_NG,25289,GAS,1.1,0.33,8.715060241
LAPUENTE_NG,25289,GAS,500.0,150.0,9.448357159
SANJOSE_NG_9,21121,GAS,309.5,92.85,8.019696574333333
ALAMEDA_NG,21121,GAS,54.8,16.439999999999998,16.87472253
SUNNYVALE_NG_10,21121,GAS,4.0,1.2,12.7123029
VACAVILLE_NG_11,21121,GAS,2.0,0.6,7.634683382
CONCORD_NG,21121,GAS,3.5,1.05,5.92996774
MOUNTAINVIEW_NG,21121,GAS,5.5,1.65,10.201570147
NAPA_NG,21121,GAS,1.1,0.33,11.47607053
SUISUNCITY_NG,21121,GAS,141.0,42.3,11.870767106666667
CROCKETT_NG,21121,GAS,247.4,74.22,6.035660786
SANLORENZO_NG,21121,GAS,1.4,0.42,6.115735785
PITTSBURG_NG,21121,GAS,1621.8,486.54,6.8944294835
SANTACLARA_NG,21121,GAS,232.1,69.62999999999998,7.0605063341428576
CUPERTINO_NG,21121,GAS,5.9,1.77,7.62581946
MARTINEZ_NG,21121,GAS,213.5,64.05,6.0481691615
BELMONT_NG,21121,GAS,1.1,0.33,85.69606299
ANTIOCH_NG,21121,GAS,1496.1,448.83,9.66590046775
AMERICANCANYON_NG,21121,GAS,4.8,1.44,7.442704642
PLEASANTON_NG,21121,GAS,1.0,0.3,7.327150538
SANLEANDRO_NG,21121,GAS,2.0,0.6,6.741529605
UNIONCITY_NG,21121,GAS,1.1,0.33,8.69158361
LODI_NG,21121,GAS,288.9,86.66999999999999,7.109515349
BYRON_NG,21121,GAS,1521.6,456.48,5.400954745
DALYCITY_NG,21121,GAS,1.5,0.4499999999999999,5.585959541
SANFRANCISCO_NG,21121,GAS,169.0,50.7,4.8762757158
RICHMOND_NG,21121,GAS,28.5,8.549999999999999,5.665988179
OAKLAND_NG,21121,GAS,1.1,0.33,8.412962708
ELSOBRANTE_NG,21121,GAS,198.6,59.58,5.14014528
HAYWARD_NG,21121,GAS,655.0,196.5,7.430598872
MILLBRAE_NG,21121,GAS,48.0,14.4,0.0
FAIRFIELD_NG,21121,GAS,49.8,14.939999999999998,9.326416644
SANTAROSA_NG,21121,GAS,1.4,0.42,6.181010914
STANFORD_NG,21121,GAS,6.0,1.7999999999999998,5.95254473
BENICIA_NG,21121,GAS,51.0,15.3,5.146191287
LONGBEACH_NG_12,28078,GAS,689.0,206.7,0.0
HUNTINGTONBEACH_NG,28078,GAS,699.2,209.76,0.0
FULLERTON_NG,28078,GAS,1.3,0.39,8.235568761
IRVINE_NG,28078,GAS,1.0,0.3,8.454003407
GARDENGROVE_NG,28078,GAS,6.1,1.83,5.459042555
ANAHEIM_NG,28078,GAS,203.6,61.08,8.175839535666666
SANTAANA_NG,28078,GAS,4.5,1.35,7.955635056
LAGUNAHILLS_NG,28078,GAS,48.2,14.46,0.0
TUSTIN_NG,28078,GAS,19.0,5.7,5.526562725
REDONDOBEACH_NG,25439,GAS,1316.4,394.92,16.21913516
STANTON_NG,25439,GAS,49.8,14.939999999999998,11.36911375
WILMINGTON_NG,25439,GAS,140.9,42.27,11.5519505665
LONGBEACH_NG_13,25439,GAS,57.4,17.22,10.43430071
COLTON_NG,25714,GAS,150.1,45.03,13.845558126666669
LAPUENTE_NG_14,25714,GAS,13.9,4.17,11.10125828
ONTARIO_NG_15,25714,GAS,100.5,30.15,8.903725577666666
COACHELLA_NG,28667,GAS,92.4,27.72,16.22635875
NORTHPALMSPRINGS_NG,28667,GAS,149.7,44.91,10.83202426
TWENTYNINEPALMS_NG,28667,GAS,16.4,4.919999999999999,5.038730159
CALIPATRIA_NG,28667,GAS,121.0,36.3,9.410412102
IMPERIAL_NG,28667,GAS,58.7,17.61,10.444564859
JANESVILLE_NG,30001,GAS,6.0,1.7999999999999998,6.273205686
YERINGTON_NG,30001,GAS,230.0,69.0,11.87283107
SPARKS_NG,30001,GAS,118.6,35.58,8.807517361
SANDIEGO_NG,28365,GAS,1407.6999999999998,422.31,8.073461940416667
CARLSBAD_NG,28365,GAS,764.5,229.35,11.26146371
ESCONDIDO_NG,28365,GAS,669.3,200.79,8.494262597333332
CHULAVISTA_NG,28365,GAS,44.0,13.2,17.54331351
ELCAJON_NG,28365,GAS,98.6,29.58,11.34866172
OCEANSIDE_NG,28365,GAS,2.5,0.75,6.436405925
ENCINITAS_NG,28365,GAS,1.1,0.33,8.555252974
CORONADO_NG,28365,GAS,1.6,0.48,0.0
PALA_NG,28365,GAS,118.0,35.4,11.1877253
RANCHOSANTAFE_NG,28365,GAS,35.5,10.65,6.0966879
SANMARCOS_NG,28365,GAS,2.0,0.6,19.68923199
VANNUYS_NG_16,25160,GAS,1.0,0.3,7.541888399
CAMARILLO_NG,25160,GAS,31.1,9.33,6.926189884
LOSANGELES_NG_17,25160,GAS,44.0,13.2,6.8825109835
NEWHALL_NG_18,25160,GAS,5.6,1.68,5.646517753
VENICE_NG_19,25160,GAS,1.2,0.36,0.0
TRACY_NG,23054,GAS,338.70000000000005,101.61,7.3516109995
